78515	"技术的犬儒"	"2004年03月10日, 星期三 23:38"	1
78897	"ELHou的故事"	"2004年03月11日, 星期四 12:25"	1
79247	"生气了"	"2004年03月11日, 星期四 19:08"	1
82343	"软件工匠的三项素质"	"2004年03月14日, 星期日 12:45"	1
83301	"关于“信心的工程”"	"2004年03月15日, 星期一 10:37"	1
84973	"笑话两则"	"2004年03月16日, 星期二 16:34"	1
92081	"你叫我拿什么文档给你？"	"2004年03月25日, 星期四 19:39"	1
93354	"懒惰是一种美德"	"2004年03月26日, 星期五 16:49"	1
97126	"Re-inventing Wheels"	"2004年03月29日, 星期一 19:40"	1
118016	"完善自我"	"2004年04月15日, 星期四 22:18"	1
123973	"“我的”程序？"	"2004年04月20日, 星期二 21:39"	1
158782	"程序员这工作"	"2004年05月17日, 星期一 10:55"	1
180898	"写简历"	"2004年06月1日, 星期二 20:55"	1
181400	"做事·做人"	"2004年06月2日, 星期三 09:10"	1
184583	"幼儿园教育"	"2004年06月4日, 星期五 11:35"	1
192104	"对风车开战"	"2004年06月9日, 星期三 10:42"	1
193204	"偶像崇拜"	"2004年06月9日, 星期三 22:50"	1
252843	"学会盲从"	"2004年07月23日, 星期五 08:48"	1
298869	"为什么成员变量要加下划线"	"2004年08月26日, 星期四 17:34"	1
316092	"为什么VSS不好"	"2004年09月8日, 星期三 11:21"	1
317374	"技术好不好"	"2004年09月9日, 星期四 09:03"	1
460797	"写程序直至成精"	"2004年12月18日, 星期六 18:33"	1
653657	"技术 vs. 业务，huh？"	"2005年04月27日, 星期三 10:29"	1
805519	"差距咋就这么大咧？"	"2005年07月11日, 星期一 10:46"	1
891459	"谁受益，谁负责"	"2005年08月12日, 星期五 12:06"	1
934846	"程序员的严谨"	"2005年08月23日, 星期二 11:05"	1
1050912	"吾生也有涯，而知也无涯"	"2005年11月9日, 星期三 20:09"	1
1119727	"Always Nearly Done"	"2006年01月19日, 星期四 22:50"	1
1147920	"商业意识和自我意识"	"2006年03月9日, 星期四 21:28"	1
1204955	"一本正经地道听途说"	"2006年07月11日, 星期二 09:20"	1
1261542	"用五年时间跨越鸿沟"	"2007年02月6日, 星期二 19:18"	1
240516	"XSLT View"	"2004年07月14日, 星期三 16:26"	2
244543	"XUL第一步"	"2004年07月17日, 星期六 12:56"	2
248096	"XUL and Web Service"	"2004年07月19日, 星期一 23:28"	2
295248	"Curl的类型体系"	"2004年08月24日, 星期二 12:42"	2
304370	"由“Redirect After Get”想到的"	"2004年08月30日, 星期一 19:39"	2
579389	"Ajax，兼论八卦与buzzword"	"2005年03月16日, 星期三 11:41"	2
767886	"Martin Fowler on LOP"	"2005年06月20日, 星期一 17:55"	2
1114077	"随便想想"	"2006年01月12日, 星期四 18:25"	2
1159971	"跨越边界"	"2006年03月29日, 星期三 00:00"	2
1183629	"关于MDA与DSL的讨论摘录"	"2006年05月18日, 星期四 00:10"	2
1218630	"什么是DSL"	"2006年08月19日, 星期六 10:38"	2
82692	"关于“Unclosed Connection”：把client当白痴？"	"2004年03月14日, 星期日 17:47"	3
93784	"如何评价一个IoC容器？"	"2004年03月26日, 星期五 21:07"	3
97808	"The Dilemma of Exception"	"2004年03月30日, 星期二 10:22"	3
77332	"IoC容器和Dependency Injection模式"	"2004年03月9日, 星期二 21:33"	3
131489	"Service Oriented Architecture"	"2004年04月27日, 星期二 08:39"	3
165060	"如芒在背"	"2004年05月21日, 星期五 09:45"	3
166013	"J2EE应用的典型架构"	"2004年05月21日, 星期五 21:20"	3
167145	"PolyBloodyHardReuse"	"2004年05月22日, 星期六 19:11"	3
168486	"谁能给我一个DDD的例子？"	"2004年05月23日, 星期日 19:03"	3
168634	"有点开窍了"	"2004年05月23日, 星期日 20:58"	3
169972	"一个体系结构重构模式"	"2004年05月24日, 星期一 21:42"	3
363758	"以讹传讹"	"2004年10月16日, 星期六 21:13"	3
397578	"解构GoF"	"2004年11月8日, 星期一 17:39"	3
558125	"重读DDD之心得第一"	"2005年03月1日, 星期二 10:35"	3
656695	"设计模式是不是每天要用"	"2005年04月28日, 星期四 15:53"	3
944684	"Everything is ..."	"2005年08月30日, 星期二 17:11"	3
79397	"XP实践：每周40小时"	"2004年03月11日, 星期四 20:50"	4
77412	"SunToneAM，以及方法学的核心"	"2004年03月9日, 星期二 22:53"	4
101302	"不完美的XP实践"	"2004年04月1日, 星期四 19:40"	4
101505	"关于敏捷方法的以讹传讹"	"2004年04月1日, 星期四 22:25"	4
125664	"有趣的争执"	"2004年04月22日, 星期四 13:32"	4
130680	"单元测试呀同志哥"	"2004年04月26日, 星期一 16:07"	4
131093	"试试XP吧"	"2004年04月26日, 星期一 20:46"	4
131144	"第一步：SCM"	"2004年04月26日, 星期一 21:23"	4
132910	"需求分析的最佳工具"	"2004年04月28日, 星期三 10:24"	4
103079	"Where Is The“X”"	"2004年04月4日, 星期日 13:36"	4
453833	"RUP的精髓"	"2004年12月14日, 星期二 13:46"	4
576358	"Fail Fast"	"2005年03月14日, 星期一 11:55"	4
753015	"推荐两篇对XP的批评"	"2005年06月13日, 星期一 09:38"	4
771309	"略解踌躇"	"2005年06月22日, 星期三 14:59"	4
1086987	"敏捷?管窥?再认识"	"2005年12月10日, 星期六 13:18"	4
1171101	"作为常识的敏捷"	"2006年04月18日, 星期二 20:42"	4
1182821	"不必关心敏捷的六大理由"	"2006年05月16日, 星期二 10:45"	4
1189488	"火花：敏捷是一条线段"	"2006年05月31日, 星期三 12:14"	4
1189509	"火花：思考者钟情火花"	"2006年05月31日, 星期三 12:52"	4
1224434	"误解，微软，从善如流（？）"	"2006年09月5日, 星期二 18:16"	4
77694	"JSR-175 (Meta-data) Sample"	"2004年03月10日, 星期三 08:41"	5
82654	"X档案：基于XML的Java持久化方案"	"2004年03月14日, 星期日 17:18"	5
85309	"直接调用ProxyFactoryBean"	"2004年03月16日, 星期二 20:45"	5
121606	"什么是portal"	"2004年04月18日, 星期日 23:26"	5
121827	"Spring结合Hibernate的标准做法"	"2004年04月19日, 星期一 08:41"	5
130736	"JOTM初接触"	"2004年04月26日, 星期一 16:45"	5
162487	"JSR 170"	"2004年05月19日, 星期三 16:36"	5
163642	"最简单的O/R Mapping"	"2004年05月20日, 星期四 10:29"	5
194767	"JDBC 4.0"	"2004年06月10日, 星期四 22:47"	5
181943	"Java规则引擎"	"2004年06月2日, 星期三 17:35"	5
183479	"学习CLISP一天"	"2004年06月3日, 星期四 17:47"	5
189620	"什么是规则"	"2004年06月7日, 星期一 22:26"	5
238366	"XMLSPY 2004 HE"	"2004年07月12日, 星期一 22:19"	5
259808	"Why WebWork Differences"	"2004年07月28日, 星期三 19:30"	5
260454	"What's New in Spring 1.1"	"2004年07月29日, 星期四 08:52"	5
231146	"Autoboxing surprises"	"2004年07月7日, 星期三 09:32"	5
268452	"轻量级的JMS消费者"	"2004年08月3日, 星期二 21:18"	5
359677	"体验Avalon"	"2004年10月13日, 星期三 21:40"	5
404281	"整合MVNForum与Roller的用户"	"2004年11月12日, 星期五 10:31"	5
420159	"又发现一个不错的CMS"	"2004年11月22日, 星期一 17:01"	5
422731	"基于Spring的安全框架"	"2004年11月24日, 星期三 19:02"	5
425536	"AcegiSecurity用法"	"2004年11月26日, 星期五 17:25"	5
447706	"Java各版本发布时间及代号"	"2004年12月10日, 星期五 11:56"	5
558209	"关于JDO的小道消息"	"2005年03月1日, 星期二 11:36"	5
783924	"JavaNG"	"2005年06月30日, 星期四 12:04"	5
805461	"Java的前世今生"	"2005年07月11日, 星期一 10:27"	5
808206	"What's New In Mustang and Dolphin"	"2005年07月12日, 星期二 11:30"	5
800873	"Annotation Sucks?!"	"2005年07月9日, 星期六 17:23"	5
926015	"Annotation vs. Configuration"	"2005年08月17日, 星期三 11:03"	5
956903	"Mustang Preview Ready"	"2005年09月6日, 星期二 11:09"	5
1128229	"Hibernate EntityManager Events"	"2006年02月6日, 星期一 20:48"	5
80855	"Sun JAF，以及概念完整性"	"2004年03月12日, 星期五 22:25"	6
88855	"To EJB Or Not To EJB, That Is A Question"	"2004年03月22日, 星期一 22:11"	6
125219	"伟大的Hello World"	"2004年04月21日, 星期三 22:56"	6
126536	"WebLogic Workshop真漂亮"	"2004年04月23日, 星期五 08:40"	6
126892	"Dissecting EJB"	"2004年04月23日, 星期五 14:01"	6
127189	"entity bean还不弱？！"	"2004年04月23日, 星期五 17:35"	6
150845	"EJB 3.0，大鼓励"	"2004年05月11日, 星期二 14:03"	6
236653	"Entity Bean的依赖注入"	"2004年07月11日, 星期日 16:46"	6
239902	"魔法数"	"2004年07月14日, 星期三 09:11"	6
229822	"EJB 3.0 Early Access"	"2004年07月6日, 星期二 08:32"	6
289587	"J2EE Development without EJB"	"2004年08月19日, 星期四 21:18"	6
294232	"J2EE Development without EJB动态"	"2004年08月23日, 星期一 16:56"	6
300224	"最后一块拼图"	"2004年08月27日, 星期五 16:07"	6
376634	"循证架构"	"2004年10月25日, 星期一 23:00"	6
379154	"可爱的EJB拥趸"	"2004年10月27日, 星期三 17:11"	6
349130	"惟名论"	"2004年10月5日, 星期二 10:42"	6
400804	"高速公路上的电动车"	"2004年11月10日, 星期三 11:50"	6
431792	"EJB 2.x已死"	"2004年11月30日, 星期二 15:53"	6
396976	"将来过去时"	"2004年11月8日, 星期一 11:38"	6
742131	"循证潮流的引领者"	"2005年06月7日, 星期二 15:43"	6
851149	"without EJB，一年间"	"2005年07月28日, 星期四 18:17"	6
879893	"别了，EJB 2.x"	"2005年08月8日, 星期一 16:08"	6
198759	"ASP.NET, Web Application"	"2004年06月13日, 星期日 23:24"	7
202591	"More On ASP.NET"	"2004年06月16日, 星期三 16:54"	7
212078	"终于走出NHibernate第一步"	"2004年06月23日, 星期三 10:27"	7
214518	"NHibernate Attributes"	"2004年06月24日, 星期四 21:03"	7
215723	"NHibernate实体配置自动生成"	"2004年06月25日, 星期五 16:06"	7
1210468	"NAnt不能构建VS2005的项目"	"2006年07月26日, 星期三 20:11"	7
338298	"大学教育"	"2004年09月22日, 星期三 20:07"	8
343668	"四种基本的序列操作"	"2004年09月28日, 星期二 15:10"	8
344907	"基本的序列操作（续）"	"2004年09月29日, 星期三 16:00"	8
353808	"实现列表管道结构"	"2004年10月9日, 星期六 16:45"	8
816942	"数据即操作·寓意深刻"	"2005年07月15日, 星期五 14:00"	8
816992	"数据即操作·实例"	"2005年07月15日, 星期五 14:19"	8
826179	"宏论·注脚"	"2005年07月19日, 星期二 09:38"	8
847571	"A functional-programming view of time"	"2005年07月27日, 星期三 09:32"	8
850297	"数据即操作·丘奇代数"	"2005年07月28日, 星期四 10:50"	8
852970	"函数式编程的一大好处"	"2005年07月29日, 星期五 13:25"	8
864934	"流与非确定性运算"	"2005年08月3日, 星期三 13:26"	8
870414	"Servlet with Scheme: Say Hello"	"2005年08月5日, 星期五 12:34"	8
882434	"Servlet with Scheme: One Input Form"	"2005年08月9日, 星期二 13:38"	8
883172	"[zz]Continuation-based web programming"	"2005年08月9日, 星期二 17:37"	8
1156596	"今日读书有收获"	"2006年03月23日, 星期四 02:36"	8
1158187	"Partial Invocation As Lambda"	"2006年03月25日, 星期六 20:12"	8
617985	"Ruby on Rails"	"2005年04月8日, 星期五 17:53"	9
790844	"Groovy也要on Rails了"	"2005年07月4日, 星期一 14:49"	9
943050	"Metadata in Ruby"	"2005年08月29日, 星期一 11:22"	9
971880	"Object.method_missing"	"2005年09月16日, 星期五 11:26"	9
980091	"WEBrick's Deadlock Bug And Solution"	"2005年09月23日, 星期五 13:17"	9
957403	"RoR，再往前走一步"	"2005年09月6日, 星期二 16:41"	9
1001382	"Why Ruby on Rails"	"2005年10月12日, 星期三 09:04"	9
1058407	"Interesting Thread on RoR"	"2005年11月13日, 星期日 14:16"	9
1033265	"厦门Ruby学习组"	"2005年11月2日, 星期三 08:47"	9
1033489	"How hot Rails is?"	"2005年11月2日, 星期三 10:56"	9
1129175	"Why Ruby Over Java"	"2006年02月8日, 星期三 13:42"	9
1198163	"RoR Book Is Coming"	"2006年06月22日, 星期四 13:17"	9
1198591	"《应用Rails进行敏捷Web开发》样章试读"	"2006年06月23日, 星期五 14:50"	9
1200040	"Ruby/Rails书讯"	"2006年06月27日, 星期二 15:05"	9
1200784	"Rails on Mongrel"	"2006年06月29日, 星期四 14:15"	9
1201516	"学习散记：Ruby，Eclipse"	"2006年07月1日, 星期六 16:50"	9
1208404	"《应用Rails进行敏捷Web开发》上市"	"2006年07月20日, 星期四 11:46"	9
1208634	"Ruby完全读书指南"	"2006年07月21日, 星期五 08:44"	9
1211714	"中国的Ruby on Rails案例"	"2006年07月30日, 星期日 17:59"	9
1227212	"时间不够，只争朝夕"	"2006年09月14日, 星期四 21:36"	9
1261338	"AWDWR II is coming"	"2007年02月5日, 星期一 13:21"	9
1261872	"Programming Ruby中文版先读为快"	"2007年02月8日, 星期四 19:53"	9
96165	"媒介决定论的反动"	"2004年03月28日, 星期日 23:43"	10
98550	"Cool时代的写作"	"2004年03月30日, 星期二 20:01"	10
113564	"传媒泛滥的季节"	"2004年04月12日, 星期一 19:18"	10
114682	"大众传播第一课：理解媒介"	"2004年04月13日, 星期二 16:21"	10
116294	"大众传播第二课：媒介的温度"	"2004年04月14日, 星期三 16:17"	10
129667	"人气的价值"	"2004年04月25日, 星期日 19:48"	10
130161	"按需出版"	"2004年04月26日, 星期一 09:05"	10
134128	"论DDJ China的倒掉"	"2004年04月29日, 星期四 21:32"	10
151122	"广告，又见广告"	"2004年05月11日, 星期二 17:41"	10
189199	"草根的反感"	"2004年06月7日, 星期一 17:37"	10
277842	"最糟糕的BLOG站点"	"2004年08月10日, 星期二 22:48"	10
466285	"手足无措"	"2004年12月22日, 星期三 11:02"	10
502491	"树人"	"2005年01月17日, 星期一 11:13"	10
515040	"Java.CSDN.net"	"2005年01月28日, 星期五 11:32"	10
517727	"网站主编的必要素养"	"2005年01月30日, 星期日 11:59"	10
517732	"两道面试题"	"2005年01月30日, 星期日 12:07"	10
517736	"编辑部管理的12法则"	"2005年01月30日, 星期日 12:14"	10
591871	"一个关于传媒的笑话"	"2005年03月25日, 星期五 14:37"	10
597781	"如何报道新技术[CSDN讨论稿]"	"2005年03月28日, 星期一 11:08"	10
636389	"语文课的吊诡"	"2005年04月18日, 星期一 17:47"	10
638342	"作文考级，以及再论语文课的吊诡"	"2005年04月19日, 星期二 18:51"	10
702738	"三论语文课的吊诡"	"2005年05月20日, 星期五 18:31"	10
723969	"渴望对手"	"2005年05月29日, 星期日 22:39"	10
806164	"切莫鄙视草根的智慧"	"2005年07月11日, 星期一 15:33"	10
966224	"Forum is Dead"	"2005年09月12日, 星期一 08:17"	10
970607	"论坛的七宗罪（一）"	"2005年09月15日, 星期四 12:48"	10
972323	"论坛的七宗罪（二）"	"2005年09月16日, 星期五 16:51"	10
977935	"论坛的七宗罪（三）"	"2005年09月21日, 星期三 14:07"	10
1228506	"空谈不误国，意见有力量"	"2006年09月18日, 星期一 23:02"	10
79280	"G-Roller的故事"	"2004年03月11日, 星期四 19:38"	11
81955	"上海，非常开心的聚会"	"2004年03月13日, 星期六 22:35"	11
107029	"羡慕"	"2004年04月7日, 星期三 16:01"	11
107282	"""Horrible"" Open Source"	"2004年04月7日, 星期三 19:30"	11
110102	"G-Roller框架使用手册"	"2004年04月9日, 星期五 17:15"	11
203173	"每天一小时，我做不到吗？"	"2004年06月16日, 星期三 23:55"	11
206211	"CVS搞定，G-Roller项目重开"	"2004年06月19日, 星期六 00:03"	11
188898	"有趣的调查"	"2004年06月7日, 星期一 14:45"	11
230514	"笨蛋小贼"	"2004年07月6日, 星期二 17:09"	11
276667	"参与开源"	"2004年08月10日, 星期二 09:35"	11
344568	"赚钱之道"	"2004年09月29日, 星期三 08:54"	11
530835	"G-Roller失败的原因"	"2005年02月9日, 星期三 21:04"	11
614195	"为了放弃的努力"	"2005年04月6日, 星期三 18:22"	11
1217775	"Ubuntu-ing"	"2006年08月16日, 星期三 19:08"	11
1220104	"硒元素上铁道"	"2006年08月23日, 星期三 17:00"	11
1220340	"CCMon 0.0.1"	"2006年08月24日, 星期四 11:06"	11
1222828	"Selenium的家"	"2006年08月31日, 星期四 16:52"	11
1214661	"セレニウム"	"2006年08月8日, 星期二 08:48"	11
1225330	"Selenium团队全家福"	"2006年09月8日, 星期五 18:54"	11
1260620	"最后一个壁垒"	"2007年01月31日, 星期三 19:38"	11
92093	"科比的肩膀"	"2004年03月25日, 星期四 19:46"	12
98688	"你打哪个位置"	"2004年03月30日, 星期二 21:33"	12
155077	"惊心动魄"	"2004年05月14日, 星期五 11:36"	12
290642	"NBA不行了？"	"2004年08月20日, 星期五 17:31"	12
654097	"那个最恶心的家伙去了"	"2005年04月27日, 星期三 14:03"	12
1121923	"看你飞翔"	"2006年01月23日, 星期一 21:59"	12
1164110	"Zoom Kobe I"	"2006年04月5日, 星期三 13:02"	12
1177035	"还活着，还站着"	"2006年05月2日, 星期二 00:20"	12
80628	"Tom DeMarco的三本书"	"2004年03月12日, 星期五 19:26"	13
84570	"《软件工艺》书评集粹"	"2004年03月16日, 星期二 10:41"	13
87888	"与熊共舞"	"2004年03月22日, 星期一 11:33"	13
95012	"“程序员修炼之道”？"	"2004年03月27日, 星期六 20:32"	13
95598	"Why Eclipse Jolts?"	"2004年03月28日, 星期日 12:53"	13
95958	"Extensible IDEs vs. Eclipse"	"2004年03月28日, 星期日 21:18"	13
98239	"拿到了《与熊共舞》"	"2004年03月30日, 星期二 16:43"	13
101458	"Eclipse的异常处理"	"2004年04月1日, 星期四 21:46"	13
126911	"“与风险共舞”有奖征文"	"2004年04月23日, 星期五 14:18"	13
157890	"今日购书"	"2004年05月16日, 星期日 17:05"	13
174501	"又见枫林晚"	"2004年05月28日, 星期五 11:01"	13
201462	"模式宝库"	"2004年06月15日, 星期二 21:48"	13
217255	"从“OO的价值”说起"	"2004年06月26日, 星期六 16:56"	13
221169	"新居一角，我的书架"	"2004年06月29日, 星期二 15:32"	13
187684	"“坎普”的风格"	"2004年06月6日, 星期日 16:43"	13
243470	"Contributing to Eclipse翻译进度"	"2004年07月16日, 星期五 17:22"	13
245145	"贡献，张力"	"2004年07月17日, 星期六 21:00"	13
228298	"作为程序员的阅读"	"2004年07月4日, 星期日 22:57"	13
234110	"以美的名义"	"2004年07月9日, 星期五 12:34"	13
276623	"选择你的红皮书"	"2004年08月10日, 星期二 09:18"	13
302494	"重读马基雅维利"	"2004年08月29日, 星期日 12:07"	13
302516	"信？达？雅？"	"2004年08月29日, 星期日 12:43"	13
266837	"《机械公敌》观后感"	"2004年08月2日, 星期一 20:09"	13
272329	"超越阐释"	"2004年08月6日, 星期五 13:38"	13
275165	"我的藏书章：琴心透月"	"2004年08月9日, 星期一 09:02"	13
320425	"知识分子的良知"	"2004年09月11日, 星期六 08:53"	13
307835	"彼处，他者"	"2004年09月2日, 星期四 09:26"	13
375610	"机械复制时代的艺术作品"	"2004年10月25日, 星期一 11:48"	13
466118	"行千里路，读一本书"	"2004年12月22日, 星期三 10:03"	13
